,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,34.5,0,0,7.8292,0
1,3,0,47.0,1,0,7.0,1
2,2,1,62.0,0,0,9.6875,0
3,3,1,27.0,0,0,8.6625,1
4,3,0,22.0,1,1,12.2875,1
5,3,1,14.0,0,0,9.225,1
6,3,0,30.0,0,0,7.6292,0
7,2,1,26.0,1,1,29.0,1
8,3,0,18.0,0,0,7.2292,2
9,3,1,21.0,2,0,24.15,1
11,1,1,46.0,0,0,26.0,1
12,1,0,23.0,1,0,82.2667,1
13,2,1,63.0,1,0,26.0,1
14,1,0,47.0,1,0,61.175,1
15,2,0,24.0,1,0,27.7208,2
16,2,1,35.0,0,0,12.35,0
17,3,1,21.0,0,0,7.225,2
18,3,0,27.0,1,0,7.925,1
19,3,0,45.0,0,0,7.225,2
20,1,1,55.0,1,0,59.4,2
21,3,1,9.0,0,1,3.1708,1
23,1,1,21.0,0,1,61.3792,2
24,1,0,48.0,1,3,262.375,2
25,3,1,50.0,1,0,14.5,1
26,1,0,22.0,0,1,61.9792,2
27,3,1,22.5,0,0,7.225,2
28,1,1,41.0,0,0,30.5,1
30,2,1,50.0,1,0,26.0,1
31,2,1,24.0,2,0,31.5,1
32,3,0,33.0,1,2,20.575,1
34,1,1,30.0,1,0,57.75,2
35,3,1,18.5,0,0,7.2292,2
37,3,0,21.0,0,0,8.6625,1
38,3,1,25.0,0,0,9.5,1
40,3,1,39.0,0,1,13.4167,2
42,3,1,41.0,0,0,7.85,1
43,2,0,30.0,0,0,13.0,1
44,1,0,45.0,1,0,52.5542,1
45,3,1,25.0,0,0,7.925,1
46,1,1,45.0,0,0,29.7,2
48,1,0,60.0,0,0,76.2917,2
49,3,0,36.0,0,2,15.9,1
50,1,1,24.0,1,0,60.0,1
51,2,1,27.0,0,0,15.0333,2
52,2,0,20.0,2,1,23.0,1
53,1,0,28.0,3,2,263.0,1
55,3,1,10.0,4,1,29.125,0
56,3,1,35.0,0,0,7.8958,1
57,3,1,25.0,0,0,7.65,1
59,1,0,36.0,0,0,262.375,2
60,3,1,17.0,0,0,7.8958,1
61,2,1,32.0,0,0,13.5,1
62,3,1,18.0,0,0,7.75,1
63,3,0,22.0,0,0,7.725,0
64,1,1,13.0,2,2,262.375,2
66,3,0,18.0,0,0,7.8792,0
67,1,1,47.0,0,0,42.4,1
68,1,1,31.0,0,0,28.5375,2
69,1,0,60.0,1,4,263.0,1
70,3,0,24.0,0,0,7.75,0
71,3,1,21.0,0,0,7.8958,1
72,3,0,29.0,0,0,7.925,1
73,1,1,28.5,0,0,27.7208,2
74,1,0,35.0,0,0,211.5,2
75,1,1,32.5,0,0,211.5,2
77,1,0,55.0,2,0,25.7,1
78,2,1,30.0,0,0,13.0,1
79,3,0,24.0,0,0,7.75,0
80,3,1,6.0,1,1,15.2458,2
81,1,1,67.0,1,0,221.7792,1
82,1,1,49.0,0,0,26.0,1
86,3,0,27.0,0,0,7.8792,0
87,3,0,18.0,0,0,8.05,1
89,2,1,2.0,1,1,23.0,1
90,3,0,22.0,1,0,13.9,1
92,1,0,27.0,1,2,52.0,1
94,1,1,25.0,0,0,26.0,2
95,3,1,25.0,0,0,7.7958,1
96,1,0,76.0,1,0,78.85,1
97,3,1,29.0,0,0,7.925,1
98,3,0,20.0,0,0,7.8542,1
99,3,1,33.0,0,0,8.05,1
100,1,0,43.0,1,0,55.4417,2
101,2,1,27.0,1,0,26.0,1
103,3,1,26.0,0,0,7.775,1
104,3,0,16.0,1,1,8.5167,2
105,3,1,28.0,0,0,22.525,1
106,3,1,21.0,0,0,7.8208,0
109,2,1,18.5,0,0,13.0,1
110,2,1,41.0,0,0,15.0458,2
112,1,0,36.0,0,0,31.6792,2
113,3,0,18.5,0,0,7.2833,0
114,1,0,63.0,1,0,221.7792,1
115,3,1,18.0,1,0,14.4542,2
117,3,0,1.0,1,1,16.7,1
118,1,1,36.0,0,0,75.2417,2
119,2,0,29.0,1,0,26.0,1
120,2,0,12.0,0,0,15.75,1
122,1,0,35.0,1,0,57.75,2
123,3,1,28.0,0,0,7.25,1
125,3,0,17.0,0,1,16.1,1
126,3,1,22.0,0,0,7.7958,1
128,2,1,42.0,0,0,13.0,1
129,3,1,24.0,0,0,8.05,1
130,3,1,32.0,0,0,8.05,1
131,1,1,53.0,0,0,28.5,2
134,3,1,43.0,0,0,7.8958,1
135,3,1,24.0,0,0,7.8542,1
136,3,1,26.5,0,0,7.225,2
137,2,1,26.0,0,0,13.0,1
138,3,0,23.0,0,0,8.05,1
139,3,1,40.0,1,6,46.9,1
140,3,0,10.0,5,2,46.9,1
141,1,0,33.0,0,0,151.55,1
142,1,1,61.0,1,3,262.375,2
143,2,1,28.0,0,0,26.0,1
144,1,1,42.0,0,0,26.55,1
145,3,1,31.0,3,0,18.0,1
147,3,1,22.0,0,0,8.05,1
149,2,1,30.0,1,1,26.0,1
150,1,0,23.0,0,1,83.1583,2
153,3,0,36.0,0,2,12.1833,1
154,3,1,13.0,4,2,31.3875,1
155,3,1,24.0,0,0,7.55,1
156,1,0,29.0,0,0,221.7792,1
157,3,0,23.0,0,0,7.8542,1
158,1,1,42.0,0,0,26.55,1
159,3,0,26.0,0,2,13.775,1
161,3,1,7.0,1,1,15.2458,2
162,2,0,26.0,0,0,13.5,1
164,2,1,41.0,0,0,13.0,1
165,3,0,26.0,1,1,22.025,1
166,1,1,48.0,0,0,50.4958,2
167,3,1,18.0,2,2,34.375,1
169,3,0,22.0,0,0,8.9625,1
171,3,1,27.0,0,0,7.225,2
172,3,1,23.0,1,0,13.9,1
174,3,1,40.0,1,5,31.3875,1
175,2,0,15.0,0,2,39.0,1
176,2,0,20.0,0,0,36.75,1
177,1,1,54.0,1,0,55.4417,2
178,2,0,36.0,0,3,39.0,1
179,1,0,64.0,0,2,83.1583,2
180,2,1,30.0,0,0,13.0,1
181,1,1,37.0,1,1,83.1583,2
182,1,0,18.0,1,0,53.1,1
184,1,0,27.0,1,1,247.5208,2
185,2,1,40.0,0,0,16.0,1
186,2,0,21.0,0,1,21.0,1
187,3,1,17.0,2,0,8.05,1
189,2,1,40.0,0,0,13.0,1
190,2,1,34.0,1,0,26.0,1
192,3,1,11.5,1,1,14.5,1
193,2,1,61.0,0,0,12.35,0
194,2,1,8.0,0,2,32.5,1
195,3,1,33.0,0,0,7.8542,1
196,1,1,6.0,0,2,134.5,2
197,3,0,18.0,0,0,7.775,1
198,2,1,23.0,0,0,10.5,1
201,3,1,0.33,0,2,14.4,1
202,1,1,47.0,1,0,227.525,2
203,2,0,8.0,1,1,26.0,1
204,2,1,25.0,0,0,10.5,1
206,3,0,35.0,0,0,7.75,0
207,2,1,24.0,0,0,10.5,1
208,1,0,33.0,0,0,27.7208,2
209,3,1,25.0,0,0,7.8958,1
210,3,1,32.0,0,0,22.525,1
212,2,1,17.0,0,0,73.5,1
213,2,0,60.0,1,0,26.0,1
214,3,0,38.0,4,2,7.775,1
215,1,1,42.0,0,0,42.5,1
217,1,1,57.0,1,1,164.8667,1
218,1,0,50.0,1,1,211.5,2
220,2,0,30.0,1,0,13.8583,2
221,3,1,21.0,0,0,8.05,1
222,2,0,22.0,0,0,10.5,1
223,3,1,21.0,0,0,7.7958,1
224,1,0,53.0,0,0,27.4458,2
226,3,1,23.0,0,0,7.7958,1
228,3,1,40.5,0,0,15.1,1
229,2,1,36.0,0,0,13.0,1
230,2,1,14.0,0,0,65.0,1
231,1,0,21.0,0,0,26.55,1
232,3,1,21.0,1,0,6.4958,1
234,1,1,39.0,1,0,71.2833,2
235,3,1,20.0,0,0,7.8542,1
236,1,1,64.0,1,0,75.25,2
237,3,1,20.0,0,0,7.225,2
238,2,0,18.0,1,1,13.0,1
239,1,0,48.0,1,0,106.425,2
240,1,0,55.0,0,0,27.7208,2
241,2,0,45.0,0,2,30.0,1
242,1,1,45.0,1,1,134.5,2
245,1,1,41.0,1,0,51.8625,1
246,2,0,22.0,0,0,21.0,1
247,2,1,42.0,1,1,32.5,1
248,2,0,29.0,1,0,26.0,1
250,2,0,0.92,1,2,27.75,1
251,3,1,20.0,0,0,7.925,1
252,1,1,27.0,1,0,136.7792,2
253,3,1,24.0,0,0,9.325,1
254,3,1,32.5,0,0,9.5,1
257,3,1,28.0,0,0,8.05,1
258,2,0,19.0,0,0,13.0,1
259,3,1,21.0,0,0,7.775,1
260,3,1,36.5,1,0,17.4,1
261,3,1,21.0,0,0,7.8542,1
262,2,0,29.0,0,2,23.0,1
263,3,0,1.0,1,1,12.1833,1
264,2,1,30.0,0,0,12.7375,2
269,3,1,17.0,0,0,8.6625,1
270,1,1,46.0,0,0,75.2417,2
272,1,0,26.0,1,0,136.7792,2
275,2,0,20.0,1,0,26.0,1
276,2,1,28.0,0,0,10.5,1
277,2,1,40.0,1,0,26.0,1
278,2,1,30.0,1,0,21.0,1
279,2,1,22.0,0,0,10.5,1
280,3,0,23.0,0,0,8.6625,1
281,3,1,0.75,1,1,13.775,1
283,3,0,9.0,1,1,15.2458,2
284,3,0,2.0,1,1,20.2125,1
285,3,1,36.0,0,0,7.25,1
287,1,1,24.0,1,0,82.2667,1
291,3,0,30.0,0,0,6.95,0
293,1,1,53.0,1,1,81.8583,1
294,3,1,36.0,0,0,9.5,1
295,3,1,26.0,0,0,7.8958,1
296,2,0,1.0,1,2,41.5792,2
298,1,1,30.0,0,0,45.5,1
299,3,1,29.0,0,0,7.8542,1
300,3,1,32.0,0,0,7.775,1
302,2,1,43.0,0,1,21.0,1
303,3,1,24.0,0,0,8.6625,1
305,1,0,64.0,1,1,26.55,1
306,1,1,30.0,1,2,151.55,1
307,3,1,0.83,0,1,9.35,1
308,1,1,55.0,1,1,93.5,1
309,3,0,45.0,1,0,14.1083,1
310,3,1,18.0,0,0,8.6625,1
311,3,1,22.0,0,0,7.225,2
313,3,0,37.0,0,0,7.75,0
314,1,0,55.0,0,0,135.6333,2
315,3,0,17.0,0,0,7.7333,0
316,1,1,57.0,1,0,146.5208,2
317,2,1,19.0,0,0,10.5,1
318,3,1,27.0,0,0,7.8542,1
319,2,1,22.0,2,0,31.5,1
320,3,1,26.0,0,0,7.775,1
321,3,1,25.0,0,0,7.2292,2
322,2,1,26.0,0,0,13.0,1
323,1,1,33.0,0,0,26.55,1
324,1,0,39.0,0,0,211.3375,1
325,3,1,23.0,0,0,7.05,1
326,2,0,12.0,2,1,39.0,1
327,1,1,46.0,0,0,79.2,2
328,2,1,29.0,1,0,26.0,1
329,2,1,21.0,0,0,13.0,1
330,2,0,48.0,0,2,36.75,1
331,1,1,39.0,0,0,29.7,2
333,3,0,19.0,1,1,15.7417,2
334,3,1,27.0,0,0,7.8958,1
335,1,1,30.0,0,0,26.0,1
336,2,1,32.0,0,0,13.0,1
337,3,1,39.0,0,2,7.2292,2
338,2,1,25.0,0,0,31.5,1
340,2,1,18.0,0,0,10.5,1
341,3,1,32.0,0,0,7.5792,1
343,1,0,58.0,0,1,512.3292,2
345,3,0,16.0,0,0,7.65,1
346,2,1,26.0,0,0,13.0,1
347,3,0,38.0,0,0,7.2292,2
348,2,1,24.0,0,0,13.5,1
349,2,0,31.0,0,0,21.0,1
350,1,0,45.0,0,1,63.3583,2
351,2,1,25.0,0,0,10.5,1
352,2,1,18.0,0,0,73.5,1
353,2,1,49.0,1,2,65.0,1
354,3,0,0.17,1,2,20.575,1
355,1,1,50.0,0,0,26.0,1
356,1,0,59.0,2,0,51.4792,1
359,3,0,30.0,1,0,15.55,1
360,3,1,14.5,8,2,69.55,1
361,2,0,24.0,1,1,37.0042,2
362,2,0,31.0,0,0,21.0,1
363,3,1,27.0,0,0,8.6625,1
364,1,0,25.0,1,0,55.4417,2
367,3,0,22.0,0,0,39.6875,1
368,1,0,45.0,0,1,59.4,2
369,2,1,29.0,0,0,13.8583,2
370,2,1,21.0,1,0,11.5,1
371,1,0,31.0,0,0,134.5,2
372,1,1,49.0,0,0,0.0,1
